track,t,x,y,z,temp
0,0,1.600,2.100,0.000,21.00
0,1,1.547,2.095,0.375,20.97
0,2,1.408,2.087,0.724,20.94
0,3,1.195,2.076,1.027,20.90
0,4,0.923,2.058,1.267,20.86
0,5,0.610,2.033,1.435,20.82
0,6,0.276,2.000,1.526,20.77
0,7,-0.059,1.958,1.542,20.71
0,8,-0.379,1.908,1.487,20.65
0,9,-0.671,1.852,1.371,20.58
0,10,-0.924,1.789,1.205,20.49
0,11,-1.133,1.722,0.999,20.40
0,12,-1.293,1.654,0.765,20.29
0,13,-1.403,1.586,0.514,20.17
0,14,-1.464,1.521,0.254,20.05
0,15,-1.478,1.460,-0.006,19.90
0,16,-1.446,1.405,-0.259,19.75
0,17,-1.373,1.358,-0.501,19.58
0,18,-1.260,1.319,-0.724,19.40
0,19,-1.110,1.288,-0.925,19.21
0,20,-0.926,1.266,-1.099,19.01
0,21,-0.712,1.250,-1.238,18.79
0,22,-0.473,1.240,-1.339,18.57
0,23,-0.215,1.233,-1.396,18.34
0,24,0.056,1.228,-1.403,18.09
0,25,0.329,1.223,-1.357,17.84
0,26,0.594,1.214,-1.254,17.58
0,27,0.838,1.201,-1.096,17.32
0,28,1.047,1.181,-0.886,17.05
0,29,1.209,1.153,-0.630,16.78
0,30,1.312,1.117,-0.340,16.50
0,31,1.347,1.073,-0.031,16.23
0,32,1.309,1.021,0.280,15.95
0,33,1.200,0.962,0.576,15.68
0,34,1.024,0.898,0.837,15.41
0,35,0.792,0.831,1.049,15.14
0,36,0.520,0.762,1.198,14.88
0,37,0.225,0.695,1.278,14.63
0,38,-0.074,0.631,1.288,14.38
0,39,-0.362,0.572,1.229,14.14
0,40,-0.622,0.519,1.111,13.91
0,41,-0.842,0.475,0.944,13.69
0,42,-1.016,0.438,0.740,13.48
0,43,-1.139,0.410,0.513,13.28
0,44,-1.210,0.390,0.273,13.09
0,45,-1.232,0.376,0.034,12.92
0,46,-1.208,0.368,-0.197,12.76
0,47,-1.144,0.362,-0.413,12.61
0,48,-1.045,0.357,-0.607,12.47
0,49,-0.916,0.350,-0.775,12.35
1,0,-1.454,2.204,1.782,21.24
1,1,-1.750,2.147,1.475,21.02
1,2,-1.977,2.085,1.129,20.79
1,3,-2.134,2.019,0.758,20.55
1,4,-2.222,1.951,0.374,20.30
1,5,-2.241,1.883,-0.014,20.04
1,6,-2.194,1.817,-0.396,19.78
1,7,-2.083,1.755,-0.763,19.51
1,8,-1.909,1.700,-1.106,19.24
1,9,-1.676,1.652,-1.416,18.97
1,10,-1.388,1.613,-1.684,18.69
1,11,-1.050,1.581,-1.900,18.42
1,12,-0.670,1.558,-2.053,18.15
1,13,-0.259,1.542,-2.132,17.87
1,14,0.171,1.531,-2.129,17.60
1,15,0.601,1.525,-2.037,17.34
1,16,1.012,1.520,-1.854,17.08
1,17,1.382,1.514,-1.581,16.83
1,18,1.690,1.506,-1.228,16.59
1,19,1.913,1.493,-0.809,16.35
1,20,2.036,1.473,-0.345,16.13
1,21,2.049,1.447,0.139,15.92
1,22,1.948,1.411,0.613,15.71
1,23,1.738,1.368,1.049,15.52
1,24,1.434,1.316,1.421,15.34
1,25,1.055,1.258,1.707,15.18
1,26,0.626,1.195,1.894,15.02
1,27,0.175,1.127,1.975,14.88
1,28,-0.271,1.059,1.953,14.75
1,29,-0.690,0.991,1.834,14.63
1,30,-1.060,0.927,1.634,14.53
1,31,-1.370,0.867,1.369,14.43
1,32,-1.609,0.814,1.056,14.35
1,33,-1.774,0.769,0.714,14.28
1,34,-1.867,0.732,0.360,14.21
1,35,-1.889,0.703,0.006,14.15
1,36,-1.848,0.682,-0.334,14.10
1,37,-1.748,0.668,-0.652,14.06
1,38,-1.597,0.659,-0.941,14.02
1,39,-1.402,0.653,-1.195,13.99
1,40,-1.169,0.648,-1.408,13.96
1,41,-0.905,0.642,-1.578,13.93
1,42,-0.615,0.632,-1.699,13.89
1,43,-0.306,0.617,-1.769,13.86
1,44,0.014,0.596,-1.784,13.83
1,45,0.337,0.566,-1.740,13.79
1,46,0.652,0.529,-1.635,13.75
1,47,0.948,0.482,-1.469,13.70
1,48,1.213,0.429,-1.243,13.64
1,49,1.431,0.369,-0.963,13.57
2,0,-1.861,1.995,-2.353,18.35
2,1,-1.372,1.947,-2.651,18.15
2,2,-0.821,1.907,-2.854,17.95
2,3,-0.227,1.875,-2.945,17.77
2,4,0.389,1.851,-2.913,17.59
2,5,0.997,1.834,-2.748,17.43
2,6,1.567,1.823,-2.450,17.29
2,7,2.065,1.816,-2.026,17.15
2,8,2.460,1.811,-1.493,17.03
2,9,2.724,1.805,-0.878,16.92
2,10,2.839,1.797,-0.215,16.82
2,11,2.794,1.785,0.458,16.73
2,12,2.593,1.766,1.098,16.65
2,13,2.250,1.740,1.668,16.59
2,14,1.789,1.705,2.136,16.53
2,15,1.241,1.663,2.477,16.47
2,16,0.643,1.612,2.679,16.43
2,17,0.030,1.554,2.740,16.39
2,18,-0.563,1.491,2.666,16.35
2,19,-1.109,1.424,2.472,16.32
2,20,-1.586,1.356,2.178,16.29
2,21,-1.978,1.288,1.806,16.26
2,22,-2.278,1.223,1.379,16.23
2,23,-2.483,1.163,0.919,16.19
2,24,-2.595,1.109,0.444,16.16
2,25,-2.617,1.063,-0.028,16.11
2,26,-2.556,1.026,-0.486,16.07
2,27,-2.419,0.996,-0.916,16.01
2,28,-2.213,0.975,-1.310,15.95
2,29,-1.944,0.960,-1.660,15.88
2,30,-1.620,0.950,-1.957,15.80
2,31,-1.248,0.944,-2.196,15.71
2,32,-0.836,0.939,-2.367,15.61
2,33,-0.394,0.933,-2.464,15.50
2,34,0.066,0.924,-2.479,15.38
2,35,0.531,0.910,-2.406,15.24
2,36,0.984,0.889,-2.243,15.09
2,37,1.405,0.860,-1.987,14.93
2,38,1.774,0.823,-1.643,14.75
2,39,2.070,0.777,-1.221,14.57
2,40,2.272,0.724,-0.735,14.37
2,41,2.363,0.665,-0.209,14.16
2,42,2.334,0.600,0.332,13.94
2,43,2.180,0.532,0.857,13.71
2,44,1.906,0.464,1.333,13.47
2,45,1.529,0.397,1.733,13.22
2,46,1.070,0.333,2.031,12.97
2,47,0.558,0.275,2.211,12.71
2,48,0.025,0.224,2.265,12.44
2,49,-0.497,0.180,2.195,12.17
